time,open,high,low,close,triggerTop,triggerBottom,Setup trigger up,Symbol success up,Symbol fail up,Setup trigger down,Symbol success down,Symbol fail down,bar_index,bix_threshold,array.size(imba),Fractal High,Fractal Low,HH,LH,LL,HL,triggerTop,triggerBottom,Setup trigger up,Symbol success up,Symbol fail up,Setup trigger down,Symbol success down,Symbol fail down,Tick (Open),Tick (High,Tick (Low),Tick (Close)
1683021600,4179.75,4180,4176.5,4176.75,0,0,0,0,0,0,0,0,16839,16739,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683021900,4177,4178.5,4176.5,4177.75,0,0,0,0,0,0,0,0,16840,16740,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683022200,4178,4178.5,4175.75,4177.75,0,0,0,0,0,0,0,0,16841,16741,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683022500,4177.75,4178.5,4177.25,4178,0,0,0,0,0,0,0,0,16842,16742,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683022800,4178,4178.5,4177.25,4178.5,0,0,0,0,0,0,0,0,16843,16743,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683023100,4178.25,4179,4177.75,4179,0,0,0,0,0,0,0,0,16844,16744,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683023400,4178.75,4179,4177.5,4178.25,0,0,0,0,0,0,0,0,16845,16745,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683023700,4178.5,4179.25,4178.25,4178.75,0,0,0,0,0,0,0,0,16846,16746,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683024000,4178.75,4178.75,4177.5,4177.5,0,0,0,0,0,0,0,0,16847,16747,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683024300,4177.75,4180.75,4177.25,4180.5,0,0,0,0,0,0,0,0,16848,16748,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683024600,4180.5,4180.5,4179.75,4180.25,0,0,0,0,0,0,0,0,16849,16749,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683024900,4180.25,4180.5,4179.25,4179.75,0,0,0,0,0,0,0,0,16850,16750,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683025200,4179.75,4180.5,4179,4179.25,0,0,0,0,0,0,0,0,16851,16751,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683025500,4179.5,4181.25,4179.25,4181,0,0,0,0,0,0,0,0,16852,16752,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683025800,4181,4181.5,4180,4181.25,0,0,0,0,0,0,0,0,16853,16753,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683026100,4181.5,4182.5,4181.25,4182,0,0,0,0,0,0,0,0,16854,16754,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683026400,4182,4182.5,4181.25,4181.25,0,0,0,0,0,0,0,0,16855,16755,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683026700,4181.25,4181.5,4179.5,4179.75,0,0,0,0,0,0,0,0,16856,16756,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683027000,4179.5,4180.25,4178.75,4179,0,0,0,0,0,0,0,0,16857,16757,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683027300,4179,4180.25,4178.75,4179,0,0,0,0,0,0,0,0,16858,16758,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
